KEY,D0,D1,D5
attribute.stc://base-0-4/attrbute:require value,attrbute:require value,Attribut:Wert erforderlich,stc://base-0-4/attrbute:require value
attribute.stc://base-0-4/attribute:abstract,attribute:abstract,Attribut:abstrakt,stc://base-0-4/attribute:abstract
attribute.stc://base-0-4/attribute:defines class,attribute:defines class,Attribut:definiert Klasse,stc://base-0-4/attribute:defines class
attribute.stc://base-0-4/attribute:limitation,attribute:limitation,Attribut:Einschränkung,stc://base-0-4/attribute:limitation
attribute.stc://base-0-4/entity:abstract,entity:abstract,Abstrakte Kategorie,stc://base-0-4/entity:abstract
attribute.stc://base-0-4/entity:characteristic,entity:characteristic,Eigenschaften-Entität,stc://base-0-4/entity:characteristic
attribute.stc://base-0-4/entity:class,entity:class,Klasse von Entitäten,stc://base-0-4/entity:class
attribute.stc://base-0-4/entity:schema,entity:schema,Schema-Eintität,stc://base-0-4/entity:schema
attribute.stc://base-0-4/operator:activity,operator:activity,Operator:Handlung,stc://base-0-4/operator:activity
attribute.stc://base-0-4/operator:causality,operator:causality,Operator:Kausalität,stc://base-0-4/operator:causality
attribute.stc://base-0-4/operator:communication,operator:communication,Operator:Kommunikation,stc://base-0-4/operator:communication
attribute.stc://base-0-4/operator:decision,operator:decision,Operator:Meinungsäußerung,stc://base-0-4/operator:decision
attribute.stc://base-0-4/operator:defines,operator:defines,Operator:definiert,stc://base-0-4/operator:defines
attribute.stc://base-0-4/operator:relation,operator:relation,Operator:Verhältnis,stc://base-0-4/operator:relation
attribute.stc://base-0-4/relation:background,relation:background,Hintergrundwissen,stc://base-0-4/relation:background
attribute.stc://base-0-4/relation:defines,relation:defines,definiert eine neue Relation,stc://base-0-4/relation:defines
attribute.stc://base-0-4/relation:figurative,relation:figurative,bildlich zu verstehen,stc://base-0-4/relation:figurative
attribute.stc://base-0-4/relation:past,relation:past,vergangene Handlung/Ereignis,stc://base-0-4/relation:past
attribute.stc://base-0-4/relation:possible,relation:possible,mögliche Handlung/Ereignis,stc://base-0-4/relation:possible
attribute.stc://base-0-4/SchemePendingDecision,SchemePendingDecision,Operator:Entscheidung,stc://base-0-4/SchemePendingDecision
category.https://schema.org/Event,https://schema.org/Event,Ereignis,https://schema.org/Event
category.https://schema.org/Person,https://schema.org/Person,Natürliche Person,https://schema.org/Person
category.https://schema.org/Place,https://schema.org/Place,Ort,https://schema.org/Place
category.stc://base-0-4/ActingEntity,ActingEntity,Akteur,stc://base-0-4/ActingEntity
category.stc://base-0-4/Activity,Activity,Handlung,stc://base-0-4/Activity
category.stc://base-0-4/Context,Context,Kontext,stc://base-0-4/Context
category.stc://base-0-4/Institution,Institution,Institution,stc://base-0-4/Institution
category.stc://base-0-4/Issue,Issue,Thema,stc://base-0-4/Issue
category.stc://base-0-4/LegalPerson,LegalPerson,Juristische Person,stc://base-0-4/LegalPerson
category.stc://base-0-4/PersonEntity,PersonEntity,Abstrakte Person,stc://base-0-4/PersonEntity
