O/E/A,Title (EN),Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
,Allgemeine Kategorien,,,,,,,,
Entität,PersonEntity,Abstrakte Person,Die Entität beschreibt eine Person (juristisch oder natürlich).,Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/PersonEntity,category.stc://base-0-5/PersonEntity,
Entität,https://schema.org/Person,Natürliche Person,Die Entität beschreibt eine natürliche Person inkl. Funktionaler Figuren.,Grundbuch,"entity:class
entity:abstract",[https://schema.org/Person] <is a> [PersonEntity],stc://base-0-5/https://schema.org/Person,category.stc://base-0-5/https://schema.org/Person,
Entität,LegalPerson,Juristische Person,Die Entität bezeichnet eine juristische Person.,Grundbuch,"entity:class
entity:abstract",[LegalPerson] <is a> [PersonEnitity],stc://base-0-5/LegalPerson,category.stc://base-0-5/LegalPerson,
Entität,Institution,Institution,"Eine formal definierte Institution (Unternehmen, NGO, Partei, Funktionseinheit der Gesellschaft z.B. Regierung, Opposition)",Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/Institution,category.stc://base-0-5/Institution,
Entität,ActingEntity,Akteur,"Eine Person oder Institution, die Handlungen ausführen kann",Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/ActingEntity,category.stc://base-0-5/ActingEntity,
Entität,Activity,Handlung,Die Entität bezeichnet eine Tätigkeit oder Handlung,Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/Activity,category.stc://base-0-5/Activity,
Entität,https://schema.org/Event,Ereignis,"Die Entität bezeichnet ein Ereignis, welches durch einen Zeitraum und einen Ort (kann auch abstrakt sein) gekennzeichnet ist.",Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/https://schema.org/Event,category.stc://base-0-5/https://schema.org/Event,
Entität,https://schema.org/Place,Ort,"Eine geographische Ortsdefinition, entweder ein Punkt oder ein Gebiet (geografischer Raum), auch anwendbar für abstrakte Orte wie den „Weltraum“ oder das „Internet“.",Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/https://schema.org/Place,category.stc://base-0-5/https://schema.org/Place,
Entität,Issue,Thema,"Die Entität bezeichnet ein Thema, welchem Akteure, Ereignisse, Werte u.ä. zugeordnet werden.",Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/Issue,category.stc://base-0-5/Issue,
Entität,SocialGroup,Soziale Gruppe,"Die Entität bezeichnet eine soziale Gruppe, die durch ein oder mehrere Merkmale definiert wird – oder auch nicht, wenn die soziale Gruppe abstrakt gehalten oder das Merkmal subjektiv ist (z.B. „schlaue Menschen“, „Opportunisten“).",Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/SocialGroup,category.stc://base-0-5/SocialGroup,
Entität,Context,Kontext,"Ein Kontext, der nicht das „hier und jetzt“ bezeichnet, z.B. die „Vergangenheit“ oder ein geografisch entfernter Ort",Grundbuch,"entity:class
entity:abstract",,stc://base-0-5/Context,category.stc://base-0-5/Context,
Entität,TemporalContext,Zeitlicher Kontext,"Ein zeitlicher Kontext, in welchem ein Ereignis stattfindet oder stattgefunden hat.",Grundbuch,"entity:class
entity:abstract",[TemporalContext] <is a> [Context],stc://base-0-5/TemporalContext,category.stc://base-0-5/TemporalContext,
Entität,SpacialContext,Örtliche Kontext,"Ein örtlicher oder geographischer Kontext, wo ein Ereignis stattfindet oder stattgefunden hat.",Grundbuch,"entity:class
entity:abstract",[SpacialContext] <is a> [Context],stc://base-0-5/SpacialContext,category.stc://base-0-5/SpacialContext,
