O/E/A,stc://media/base-0-5,Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
,,,,,,,,,
,Entitäten im Zusammenhang mit ,dem Krieg in der Ukraine,,,,,,,
,Akteur/innen und Positionen:,,,,,,,,
Entität,Emmanuel Macron,Emmanuel Macron,Emmanuel Jean-Michel Frédéric Macron ist seit Mai 2017 Staatspräsident der Französischen Republik und Kofürst von Andorra.,Fachbuch,,,https://dbpedia.org/page/Emmanuel_Macron,entity.https://dbpedia.org/page/Emmanuel_Macron,
Entität,Wladimir Putin,Wladimir Putin,Wladimir Wladimirowitsch Putin ist ein russischer Politiker. Er ist seit dem 7. Mai 2000 Präsident der Russischen Föderation.,Fachbuch,,,https://dbpedia.org/page/Vladimir_Putin,entity.https://dbpedia.org/page/Vladimir_Putin,
Entität,Olaf Scholz,Olaf Scholz,Olaf Scholz ist ein deutscher Politiker. Er ist seit dem 8. Dezember 2021 der neunte Bundeskanzler der Bundesrepublik Deutschland.,Fachbuch,,,https://dbpedia.org/page/Olaf_Scholz,entity.https://dbpedia.org/page/Olaf_Scholz,
Entität,Friedrich Merz,Friedrich Merz,Joachim-Friedrich Martin Josef Merz ist ein deutscher Politiker. Seit dem 31. Januar 2022 ist er Bundesvorsitzender der CDU und seit dem 15. Februar 2022 Vorsitzender der CDU/CSU-Bundestagsfraktion und somit Oppositionsführer im 20. Deutschen Bundestag.,Fachbuch,,,https://dbpedia.org/page/Friedrich_Merz,entity.https://dbpedia.org/page/Friedrich_Merz,
Entität,Kevin Kühnert,Kevin Kühnert,Kevin Kühnert ist ein deutscher Politiker. Er ist seit Oktober 2021 direktgewähltes Mitglied im Deutschen Bundestag und seit Dezember 2021 Generalsekretär der SPD.,Fachbuch,,,https://dbpedia.org/page/Kevin_Kühnert,entity.https://dbpedia.org/page/Kevin_Kühnert,
Entität,Lars Klingbeil,Lars Klingbeil,Lars Klingbeil ist ein deutscher Politiker. Er ist seit Dezember 2021 einer der beiden Bundesvorsitzenden der SPD. Von Dezember 2017 bis Dezember 2021 war er Generalsekretär der SPD und von Mai 2003 bis November 2007 einer der stellvertretenden Bundesvorsitzenden der Jusos. ,Fachbuch,,,https://dbpedia.org/page/Lars_Klingbeil,entity.https://dbpedia.org/page/Lars_Klingbeil,
Entität,Saskia Esken,Saskia Esken,Saskia Christina Esken ist eine deutsche Politikerin. Sie ist seit 2013 Mitglied des Deutschen Bundestages und seit 2019 eine der beiden Bundesvorsitzenden der SPD.,Fachbuch,,,https://dbpedia.org/page/Saskia_Esken,entity.https://dbpedia.org/page/Saskia_Esken,
Entität,Mario Czaja,Mario Czaja,Mario Czaja ist ein deutscher Politiker und seit dem 31. Januar 2022 Generalsekretär der CDU. ,Fachbuch,,,https://www.wikidata.org/wiki/Q1898733,entity.https://www.wikidata.org/wiki/Q1898733,
Entität,Norbert Roettgen,Norbert Roettgen,Norbert Alois Röttgen ist ein deutscher Politiker und Rechtsanwalt. Er ist seit 1994 Mitglied des Deutschen Bundestages.,Fachbuch,,,https://dbpedia.org/page/Norbert_Röttgen ,entity.https://dbpedia.org/page/Norbert_Röttgen ,
Entität,Johann Wadephul,Johann Wadephul,Johann David Wadephul ist ein deutscher Politiker und Rechtsanwalt. Er war von 2005 bis 2009 Vorsitzender der CDU-Fraktion im Landtag von Schleswig-Holstein und ist seitdem Bundestagsabgeordneter. ,Fachbuch,,,https://dbpedia.org/page/Johann_Wadephul,entity.https://dbpedia.org/page/Johann_Wadephul,
